slang,standard,category
ko,không,phủ định
k,không,phủ định
dc,được,động từ
đc,được,động từ
r,rồi,trạng từ
vs,với,giới từ
mk,mình,đại từ
bn,bạn,đại từ
mn,mọi người,đại từ
bh,bây giờ,trạng từ
lm,làm,động từ
nx,nữa,phó từ
ms,mới,phó từ
v,vậy,đại từ
j,gì,đại từ
ng,ngày,danh từ
h,giờ,danh từ
tks,cảm ơn,cảm thán
ty,cảm ơn,cảm thán
ok,được rồi,cảm thán
oke,được rồi,cảm thán
nha,nhé,trợ từ
ship,giao hàng,danh từ
rep,trả lời,động từ
ck,chuyển khoản,danh từ
hsd,hạn sử dụng,danh từ
cod,thanh toán khi nhận hàng,danh từ
sp,sản phẩm,danh từ
dt,điện thoại,danh từ
sdt,số điện thoại,danh từ
tk,tài khoản,danh từ
giúm,giúp,động từ
lun,luôn,phó từ
fb,Facebook,danh từ
t2,thứ hai,danh từ
t3,thứ ba,danh từ
t4,thứ tư,danh từ
t5,thứ năm,danh từ
t6,thứ sáu,danh từ
t7,thứ bảy,danh từ
cn,chủ nhật,danh từ
